Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V3RegC1,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,194.25,-93.0,-90.0,top
3V3RegInd1,3.3uH,IND-SMD_L4.0-W4.0_FNR40XXS,189.2499,-91.0,0.0,top
3V3Reg_IC1,TPS62162DSG,WSON-8_L2.0-W2.0-P0.50-TL-EP,181.95,-95.3499,0.0,top
5VRegC1,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,200.5,-91.0,-90.0,top
5VRegInd1,10uH,IND-SMD_L7.8-W7.0-A,197.5,-75.0,0.0,top
5VReg_IC1,MT3608,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,189.0,-75.0,180.0,top
9Vto5V_IC1,TPS62163DSG,WSON-8_L2.0-W2.0-P0.50-TL-EP,186.45,-48.2501,0.0,top
BattCharge_IC1,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,184.0,-64.0,90.0,top
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,201.0,-58.5375,-90.0,top
C10,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,165.7,-110.1,-90.0,top
C11,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,185.3675,-108.5,0.0,top
C12,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,181.0,-110.3,-90.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.3,-56.9,180.0,top
C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.0,-95.1,-90.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.1,-100.1,180.0,top
C16,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,182.5,-74.5,0.0,top
C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.1,-96.3,-90.0,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.9,-96.1,90.0,top
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,181.4625,-59.5,180.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.5375,-47.0,90.0,top
C4,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,195.5,-52.5625,90.0,top
C5,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.3,-110.1675,-90.0,top
C6,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.2675,-108.2675,0.0,top
C7,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,194.8,-108.1325,0.0,top
C8,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,190.9,-110.1,-90.0,top
C9,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.2,-108.4,0.0,top
CurrentSensor1,INA219AxDCN,SOT-23-8,164.6,-72.4,0.0,top
D1,D_Schottky,SMA_L4.3-W2.6-LS5.2-RD,206.0,-75.0,90.0,top
D2,RED LED,LED_0805_2012Metric,176.5,-63.5,90.0,top
ExtLoadSw_IC1,~,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP1.8,166.975,-96.169,0.0,top
J1,Conn_02x16_Odd_Even,PinSocket_2x16_P2.54mm_Vertical,177.99,-120.47,90.0,bottom
J2,Battery IN JST,PinSocket_1x02_P2.00mm_Vertical,151.2,-65.8,0.0,top
L4,3.3uH,IND-SMD_L4.0-W4.0_FNR40XXS,194.5001,-47.0,0.0,top
M1BulkC1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.0625,-112.6,180.0,top
M1Control1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,159.1,-110.1675,0.0,top
M2BulkC1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,197.0,-112.8,0.0,top
M2Control1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,194.65,-109.95,0.0,top
M3BulkC1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.2,-112.7,180.0,top
M3Control1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,170.099,-110.15,0.0,top
M4BulkC1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.6,-113.4,0.0,top
M4Control1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,185.45,-110.35,0.0,top
Q2,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,193.5,-64.5,-90.0,top
R1,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,176.9125,-66.5,0.0,top
R10,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,206.0,-89.0,-90.0,top
R11,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,164.7125,-69.1,180.0,top
R12,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,166.8,-76.0,-90.0,top
R13,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,164.9,-76.0125,90.0,top
R2,2k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,193.5,-59.9125,-90.0,top
R3,5k6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,190.0,-59.9125,-90.0,top
R4,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,186.0875,-53.0,0.0,top
R5,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169.9,-54.9,-90.0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169.9,-58.5875,90.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,185.5,-95.35,-90.0,top
R8,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,206.0,-85.4125,-90.0,top
R9,8k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,206.0,-81.0,-90.0,top
RSense1,0.1R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,160.6,-72.2,90.0,top
R_set1,6k8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,154.3875,-57.1,180.0,top
SWPwr1,SW_SPDT,SW-TH_5P-P4.70_SS-12D11-G050,154.8635,-86.0,90.0,top
USB1,TYPE-C16PIN,USB-C-SMD_TYPE-C16PIN,155.63225,-50.7,-90.0,top
